ID del damnificado;# integrantes;Familiares de apoyo (1 = SI);origen del damnificado (1 = local);años de instalación en la ciudad;Estrato social;Dias en albergue
375;3;0;1;4;2;17
376;1;1;1;3;5;4
377;4;1;1;5;1;0
378;2;1;0;6;3;6
379;5;1;0;7;2;13
380;3;1;1;2;2;7
381;3;0;0;4;4;0
382;2;1;0;2;5;6
383;7;1;1;2;4;3
384;5;0;0;2;2;9
385;1;1;1;2;2;1
386;1;0;1;2;3;5
387;2;1;0;0;4;1
388;2;0;1;6;2;16
389;4;0;0;4;3;3
390;3;1;0;3;2;12
391;4;1;1;5;3;11
392;1;1;0;3;2;2
393;6;1;0;1;2;4
394;2;1;1;5;2;20
395;3;0;1;3;4;3
396;4;1;0;1;1;17
397;4;0;0;2;4;3
398;2;1;1;3;1;17
399;2;1;0;8;2;7
400;5;0;1;1;1;5
401;5;1;1;4;5;5
402;1;1;1;2;2;3
403;4;1;1;4;2;11
404;3;0;1;1;1;5
405;1;0;1;0;1;1
406;3;0;1;1;2;5
407;5;1;0;0;4;0
408;2;1;1;7;2;22
409;7;1;1;2;1;15
410;3;0;0;6;3;2
411;4;0;1;5;1;1
412;6;0;0;2;5;1
413;1;1;1;8;3;4
414;3;1;1;2;2;0
415;4;1;1;3;2;20
416;4;1;0;3;2;0
417;3;1;0;2;1;4
418;3;0;0;1;1;3
419;3;1;0;3;1;5
420;4;0;1;3;3;8
421;3;0;0;1;3;7
422;4;0;1;6;2;10
423;2;1;0;1;2;1
424;1;1;1;2;3;2
425;5;1;1;1;1;2
426;3;1;1;1;1;6
427;3;1;1;4;2;2
428;3;1;0;1;5;2
429;4;1;0;4;1;1
430;2;0;0;2;2;0
431;2;1;1;3;2;1
432;5;1;1;2;3;9
433;2;1;0;5;2;5
434;2;0;0;1;4;1
435;2;1;1;5;1;4
436;2;1;0;5;1;4
437;5;1;1;1;5;3
438;3;1;1;2;1;5
439;1;1;1;2;1;2
440;2;0;1;2;2;2
441;5;0;1;5;3;2
442;5;0;1;1;1;14
443;5;1;1;5;1;4
444;5;1;1;1;2;3
445;2;1;1;1;3;11
446;2;0;0;3;1;0
447;2;1;0;4;5;1
448;2;0;1;3;1;1
449;3;0;0;2;5;0
450;2;0;1;3;4;4
451;2;1;0;2;3;2
452;6;1;1;2;1;9
453;1;0;1;1;2;9
454;2;0;0;2;2;7
455;6;0;1;1;5;1
456;1;1;1;5;3;32
457;2;0;0;0;1;10
458;4;0;1;3;1;27
459;1;0;1;4;2;5
460;3;0;0;2;1;19
461;2;1;1;4;1;2
462;2;1;1;2;3;5
463;4;1;0;1;4;0
464;4;1;0;3;3;0
465;2;1;0;2;3;3
466;6;0;0;7;1;5
467;3;1;1;3;2;2
468;2;0;1;5;2;11
469;2;0;0;4;4;2
470;5;1;1;4;1;1
471;2;1;1;1;2;4
472;1;1;1;4;3;15
473;1;1;1;6;4;15
474;3;0;0;3;1;19
475;3;1;0;1;1;9
476;2;1;1;9;5;0
477;6;0;1;4;2;5
478;2;0;1;7;2;12
479;2;1;1;3;1;7
480;7;0;0;2;2;1
481;1;1;0;1;5;2
482;6;1;1;3;2;12
483;1;1;1;6;3;2
484;7;0;0;4;2;8
485;4;0;0;1;5;2
486;5;1;1;3;5;6
487;4;0;1;0;2;1
488;5;0;0;1;3;4
489;3;1;1;2;4;4
490;8;1;1;6;2;7
491;5;1;1;3;5;2
492;3;1;1;4;5;5
493;2;1;1;2;2;3
494;8;1;0;0;1;6
495;7;1;1;5;3;14
496;3;1;0;3;5;2
497;2;1;1;7;2;11
498;4;1;1;3;3;6
499;5;1;1;3;2;5
500;2;1;0;1;2;3
501;5;1;0;3;3;2
502;3;1;1;1;2;3
503;3;1;0;7;3;5
504;6;1;0;3;5;0
505;3;1;0;3;3;4
506;2;1;1;6;1;17
507;2;1;0;2;2;1
508;2;0;1;2;3;7
509;3;1;0;4;3;4
510;2;1;0;3;2;1
511;5;0;0;5;1;3
512;2;1;0;1;3;4
513;4;1;1;1;3;2
514;1;1;1;3;3;7
515;2;1;0;1;2;11
516;7;0;1;10;1;0
517;5;1;0;2;1;2
518;4;1;1;1;2;1
519;3;1;1;6;3;5
520;1;1;1;1;1;4
521;5;0;1;2;2;4
522;1;1;1;7;2;0
523;5;0;1;3;3;0
524;3;1;0;3;5;0
525;1;0;1;2;2;22
526;5;1;1;3;3;6
527;6;0;1;2;3;0
528;2;0;1;2;5;34
529;5;0;0;2;1;0
530;2;1;0;4;4;2
531;3;0;0;4;3;20
532;2;0;1;2;2;28
533;2;0;1;4;3;6
534;6;1;0;4;4;0
535;5;1;0;3;4;0
536;5;0;0;1;2;1
537;5;1;1;6;4;0
538;3;0;1;2;4;7
539;2;1;0;0;1;1
540;1;0;0;2;2;3
541;5;0;0;3;2;4
542;2;1;0;6;1;3
543;2;1;1;2;1;21
544;6;1;1;2;2;2
545;3;1;0;2;3;1
546;3;1;1;5;4;6
547;8;0;1;3;5;8
548;3;0;1;3;3;31
549;3;1;1;1;3;7
550;1;1;0;3;3;3
551;2;0;1;2;4;9
552;5;1;1;0;2;2
553;3;1;1;5;4;4
554;3;1;1;3;1;13
555;2;1;1;5;2;8
556;2;1;1;5;2;4
557;4;1;1;4;3;1
558;3;1;1;3;3;0
559;3;1;1;4;3;6
560;2;1;1;5;3;3
561;3;1;1;4;2;10
562;1;1;1;1;3;2
563;5;1;0;2;2;1
564;5;0;1;2;5;7
565;5;1;1;3;3;7
566;2;1;1;2;5;2
567;3;1;1;4;5;1
568;4;1;0;1;2;2
569;6;1;1;1;1;1
570;8;0;0;2;1;12
571;2;1;0;5;1;8
572;2;1;1;2;1;17
573;3;0;0;4;3;31
574;2;1;0;5;4;2
575;2;1;0;4;3;6
576;7;1;0;3;2;1
577;3;0;0;4;2;8
578;5;1;1;6;1;6
579;3;1;0;3;4;0
580;2;1;1;4;2;4
581;1;1;1;3;2;7
582;5;1;0;3;5;0
583;5;1;1;6;3;29
584;3;1;0;2;3;1
585;3;1;0;1;2;2
586;5;1;0;1;1;7
587;5;1;0;5;3;1
588;3;0;1;1;1;37
589;7;1;0;4;5;0
590;1;0;0;2;3;44
591;3;1;1;1;3;6
592;6;1;1;3;3;1
593;5;1;1;5;2;2
594;1;1;1;1;1;19
595;5;1;0;1;5;0
596;2;0;1;3;2;16
597;6;1;1;3;1;4
598;5;1;0;4;3;5
599;3;0;1;3;1;48
600;5;0;1;2;2;0
601;3;1;0;5;2;10
602;6;0;0;1;2;2
603;2;1;1;0;2;23
604;1;0;0;2;5;0
605;2;1;1;4;1;13
606;4;0;0;3;2;3
607;2;1;0;4;4;2
608;5;0;0;2;2;0
609;1;1;0;2;2;1
610;4;1;0;3;3;2
611;7;0;1;6;2;1
612;4;1;1;3;1;0
613;5;1;0;4;1;0
614;2;1;1;4;3;11
615;3;0;1;4;1;18
616;1;1;0;1;3;13
617;2;0;1;6;5;11
618;3;1;0;1;2;11
619;6;1;1;1;4;11
620;8;1;0;4;4;0
621;2;1;0;4;2;3
622;2;1;0;2;1;6
623;4;1;1;2;2;1
624;5;0;1;6;1;49
625;2;0;1;6;4;11
626;7;1;0;4;3;1
627;3;1;0;1;1;2
628;4;1;0;1;1;2
629;2;1;1;1;1;38
630;4;1;1;4;2;20
631;4;0;1;4;4;4
632;2;1;0;1;5;0
633;5;1;1;3;3;1
634;3;0;0;0;2;6
635;1;0;0;4;5;2
636;1;0;0;4;5;1
637;4;1;0;2;2;2
638;6;1;0;1;5;0
639;5;0;0;2;1;4
640;6;1;0;3;3;10
641;2;1;0;3;2;2
642;6;1;0;1;4;0
643;2;0;0;2;5;10
644;4;1;0;1;2;4
645;5;1;1;0;4;1
646;1;1;0;0;2;1
647;4;1;0;2;2;1
648;5;1;1;2;4;6
649;2;1;1;2;2;3
650;3;1;0;2;2;4
651;5;0;1;3;5;3
652;2;1;0;2;4;2
653;5;1;1;2;1;22
654;5;0;1;3;1;14
655;2;1;1;2;2;11
656;1;1;0;1;2;6
657;2;1;0;4;2;1
658;3;1;0;2;2;3
659;5;0;0;2;4;0
660;3;0;0;3;4;6
661;3;1;0;2;3;0
662;2;1;1;4;3;6
663;5;1;0;6;2;13
664;4;0;0;2;2;1
665;1;1;0;1;5;2
666;4;1;0;4;2;1
667;5;0;0;1;5;3
668;2;1;0;1;4;0
669;3;1;1;3;5;4
670;1;1;0;6;4;0
671;5;0;0;2;1;1
672;2;0;1;2;1;2
673;2;1;0;5;1;2
674;2;1;0;4;3;1
675;7;1;1;2;4;3
676;1;1;1;2;2;0
677;3;0;1;2;2;3
678;3;1;1;3;1;13
679;1;0;1;3;1;14
680;3;1;0;0;2;27
681;7;1;0;4;1;3
682;2;1;1;0;2;10
683;5;1;0;1;1;5
684;5;0;1;3;1;11
685;8;1;1;3;2;13
686;8;1;1;8;1;34
687;2;1;1;5;4;16
688;5;1;1;4;4;2
689;2;0;1;4;4;2
690;3;0;1;3;1;16
691;4;0;0;4;5;8
692;3;0;1;5;5;4
693;3;1;0;6;2;1
694;1;0;1;2;2;16
695;4;1;0;1;3;2
696;3;1;0;0;2;8
697;5;0;0;3;3;1
698;5;0;1;4;1;1
699;5;1;1;0;1;1
700;2;0;1;3;2;27
701;2;1;0;1;1;2
702;5;1;1;8;3;0
703;8;1;1;8;2;11
704;2;1;1;2;3;1
705;2;1;0;2;2;2
706;5;1;0;2;1;2
707;2;1;1;2;2;2
708;6;1;0;4;2;4
709;2;1;1;1;1;17
710;3;1;1;5;1;5
711;4;0;1;5;2;11
712;2;0;1;2;2;2
713;2;0;1;3;2;4
714;3;1;1;3;4;7
715;6;1;1;4;1;0
716;4;1;0;3;3;2
717;3;1;0;5;2;10
718;3;0;1;4;2;3
719;3;1;0;2;2;1
720;7;0;0;3;1;14
721;5;0;1;3;2;2
722;5;1;1;3;1;47
723;3;1;1;1;3;2
724;5;1;0;3;1;2
725;3;0;0;4;1;2
726;2;1;1;0;4;17
727;6;1;0;4;1;15
728;3;1;1;1;2;6
729;4;0;1;5;3;14
730;1;0;1;2;3;14
731;4;1;0;2;3;1
732;5;1;1;4;2;0
733;3;1;1;1;3;12
734;1;1;1;3;4;3
735;8;1;1;2;4;2
736;6;1;1;4;3;3
737;2;1;0;1;1;5
738;2;1;0;5;2;7
739;4;1;1;3;4;7
740;2;1;1;5;5;2
741;3;1;1;3;1;1
742;4;1;0;1;1;6
743;2;0;1;3;1;1
744;2;1;0;0;3;0
745;5;1;0;3;2;1
746;1;1;1;2;2;5
747;2;1;1;2;3;0
748;5;1;0;2;2;1
749;2;1;0;3;5;4
750;2;0;1;2;1;7
751;4;0;1;4;3;10
752;7;1;1;1;1;14
753;4;1;1;5;4;4
754;2;1;1;2;5;3
755;2;0;1;4;2;1
756;5;1;1;2;5;2
757;2;0;0;4;1;1
758;2;1;1;2;2;6
759;6;0;1;4;1;1
760;1;1;1;0;4;9
761;2;1;0;1;1;17
762;5;1;1;3;3;3
763;1;1;0;3;2;2
764;3;1;0;5;1;2
765;2;0;0;2;2;16
766;4;1;1;2;1;2
767;1;1;0;4;2;1
768;2;1;1;6;2;10
769;3;1;1;2;1;14
770;2;1;1;0;1;10
771;4;0;0;4;2;1
772;4;1;0;1;1;0
773;2;1;1;2;2;0
774;4;1;0;3;3;3
775;5;1;0;4;3;4
776;2;0;1;2;2;8
777;8;0;0;5;3;23
778;4;1;1;2;4;7
779;5;0;1;3;1;1
780;4;1;0;5;5;0
781;8;0;0;5;4;1
782;3;0;1;2;2;3
783;5;1;0;5;2;3
784;2;1;1;3;1;3
785;4;0;1;3;1;2
786;8;1;0;0;1;4
787;2;1;0;7;1;4
788;1;1;1;2;5;13
789;4;0;0;5;2;7
790;5;1;1;1;2;11
791;2;0;1;5;3;10
792;3;1;1;3;2;5
793;3;1;0;7;1;23
794;2;1;1;5;1;1
795;2;0;0;5;2;12
796;5;0;1;5;4;4
797;3;1;0;4;1;8
798;5;1;0;4;1;3
799;8;1;0;2;2;2
800;2;0;0;4;1;7
801;1;1;0;5;2;2
802;1;1;1;4;3;1
803;6;1;1;2;4;2
804;6;1;1;4;2;7
805;2;1;0;2;2;1
806;6;1;1;3;5;2
807;4;1;1;5;3;7
808;4;0;0;2;1;13
809;8;1;1;2;3;9
810;2;0;0;4;1;23
811;2;1;1;4;4;4
812;1;1;1;5;1;2
813;5;0;1;1;1;0
814;2;1;0;2;1;1
815;2;1;1;5;4;2
816;6;1;0;0;3;3
817;5;1;1;1;4;4
818;4;0;0;3;4;1
819;8;0;0;4;1;12
820;3;0;0;4;4;5
821;5;1;1;4;2;0
822;7;1;1;2;1;2
823;2;1;1;4;1;11
824;3;1;1;2;1;0
825;3;1;0;0;2;13
826;3;1;1;1;2;11
827;4;1;0;5;2;0
828;2;1;1;2;3;7
829;2;1;0;0;1;4
830;2;1;1;1;3;12
831;5;0;0;2;1;13
832;7;1;0;3;1;1
833;2;0;1;1;2;9
834;3;1;1;2;3;12
835;5;1;0;3;3;1
836;1;1;1;8;1;19
837;6;1;1;3;3;5
838;3;0;1;2;2;3
839;3;1;1;3;3;2
840;1;1;1;2;1;11
841;1;1;1;2;3;1
842;2;1;1;1;5;2
843;2;1;0;3;3;9
844;6;0;1;1;5;3
845;2;1;1;4;1;7
846;2;1;1;4;3;6
847;3;1;1;2;5;0
848;8;1;1;4;1;7
849;2;1;0;4;4;0
850;2;1;1;2;2;10
851;6;0;1;3;4;7
852;2;1;0;2;2;11
853;3;1;1;3;3;6
854;2;0;1;1;5;2
855;2;1;1;5;4;0
856;2;0;1;2;1;4
857;2;1;1;2;1;0
858;2;0;1;4;5;11
859;2;1;1;4;4;6
860;5;1;0;3;5;0
861;2;0;1;5;3;43
862;7;1;0;3;1;4
863;5;0;0;6;5;2
864;3;1;0;6;1;6
865;3;0;1;2;4;0
866;3;0;1;7;3;3
867;3;0;1;3;3;8
868;3;1;1;3;1;5
869;2;1;1;4;2;2
870;2;1;0;3;2;4
871;5;0;1;2;1;14
872;3;1;0;6;2;7
873;5;1;1;7;5;14
874;7;0;1;2;3;2
875;7;1;0;5;1;3
876;3;1;1;2;1;4
877;2;1;0;3;4;0
878;2;1;1;0;3;0
879;2;0;1;4;1;21
880;2;1;1;0;2;3
881;2;1;1;0;2;25
882;5;1;1;4;2;3
883;2;0;1;2;1;12
884;1;1;0;1;2;4
885;4;1;0;3;4;0
886;5;1;1;1;1;4
887;2;1;0;2;2;5
888;5;0;1;3;2;24
889;5;1;1;4;1;12
890;5;0;1;4;2;8
891;2;1;1;3;5;3
892;1;1;1;2;1;3
893;2;1;1;1;1;4
894;1;0;0;3;2;11
895;1;1;0;2;3;2
896;2;1;1;3;1;17
897;3;0;1;3;1;24
898;1;1;1;2;3;8
899;2;1;1;2;1;6
900;3;0;0;4;2;5
901;4;1;1;5;1;0
902;3;1;1;3;2;8
903;5;1;1;1;3;1
904;5;0;0;3;4;10
905;8;1;1;2;2;3
906;1;0;0;2;1;10
907;3;0;1;1;1;5
908;3;0;0;4;2;1
909;5;0;0;5;2;5
910;5;1;1;1;3;8
911;4;1;1;3;3;1
912;6;1;1;3;4;1
913;3;1;0;2;1;5
914;2;1;1;3;1;3
915;1;0;1;4;1;3
916;2;1;1;1;2;18
917;2;1;1;3;1;1
918;2;0;0;1;4;10
919;2;1;0;8;2;6
920;5;1;1;3;3;1
921;5;1;0;5;3;7
922;3;1;1;0;1;3
923;5;1;1;3;1;14
924;2;0;1;2;2;4
925;5;1;0;4;1;2
926;5;0;1;3;3;7
927;5;0;0;1;4;5
928;3;1;0;3;4;1
929;2;1;1;1;1;4
930;2;1;1;2;3;11
931;2;1;1;1;5;8
932;3;1;0;2;1;18
933;4;1;1;4;3;6
934;3;1;1;1;1;4
935;5;1;1;9;3;4
936;1;0;0;1;3;0
937;3;1;1;2;1;2
938;3;1;1;4;1;6
939;3;1;1;1;4;7
940;5;1;1;0;2;2
941;3;1;1;4;2;1
942;8;1;1;3;3;1
943;5;1;0;3;2;6
944;3;0;1;1;2;2
945;2;1;0;2;2;2
946;1;1;0;4;4;1
947;3;1;0;3;1;13
948;2;0;1;2;1;19
949;2;1;1;6;1;0
950;8;1;1;4;1;10
951;2;1;1;5;2;2
952;2;1;0;2;2;1
953;3;1;0;3;2;2
954;5;1;1;5;2;13
955;5;1;1;3;1;4
956;6;1;0;4;1;3
957;1;1;0;4;4;0
958;1;0;1;5;2;6
959;5;1;1;4;3;5
960;4;1;1;6;3;3
961;3;0;1;7;2;2
962;2;1;0;6;4;3
963;4;1;1;1;2;14
964;2;1;1;1;1;6
965;1;1;1;5;2;3
966;7;1;1;1;2;0
967;8;1;0;4;4;0
968;2;1;1;6;1;15
969;2;1;1;2;5;8
970;2;0;0;6;3;0
971;2;1;0;3;3;3
972;2;1;0;4;1;4
973;1;1;1;7;1;0
974;4;1;0;2;1;4
975;2;1;1;1;1;10
976;2;0;0;2;1;16
977;8;1;1;4;3;8
978;5;0;1;3;4;1
979;3;1;1;5;2;11
980;2;1;1;6;4;13
981;5;1;0;2;4;0
982;2;0;1;1;5;7
983;2;1;1;3;2;3
984;2;1;1;1;4;11
985;4;1;0;7;3;2
986;1;1;1;1;5;9
987;5;0;0;4;2;3
988;5;1;1;0;1;7
989;2;1;1;1;1;7
990;1;1;0;6;1;12
